ID,Name,Concepticon_ID,Concepticon_Gloss
AugeN,eye,1248,EYE
OhrN,ear,1247,EAR
NaseN,nose,1221,NOSE
MundN,mouth,674,MOUTH
ZahnN,tooth,1380,TOOTH
ZungeN,tongue,1205,TONGUE
LippeN,lip,478,LIP
WangeN,cheek,1730,CHEEK
GesichtN,face,1560,FACE
StirnN,forehead,123,FOREHEAD
HaarN,hair,1040,HAIR
SchnurrbartN,moustache,1165,MOUSTACHE
BartN,beard,678,BEARD
KinnN,chin,1510,CHIN
KieferAnatomieN,jaw,798,JAW
KehleN,throat,1346,THROAT
HalsN,neck,1333,NECK
GenickN,nape,1347,NAPE (OF NECK)
KopfN,head,1256,HEAD
RuckenN,back,1291,BACK
BauchN,belly,1251,BELLY
NabelN,navel,1838,NAVEL
BusenN,bosom,1402,BREAST
BrustN,breast,1592,CHEST
SchulterN,shoulder,1482,SHOULDER
ArmN,arm,1673,ARM
EllenbogenN,elbow,981,ELBOW
HandN,hand,1277,HAND
HandflacheN,palm,1183,PALM OF HAND
FingerN,finger,1303,FINGER
FingernagelN,fingernail,1258,FINGERNAIL
NagelAnatomieN,nail,1896,FINGERNAIL OR TOENAIL
ZehN,toe,1389,TOE
FuN,foot,1301,FOOT
FerseN,heel,980,HEEL
KnieN,knee,1371,KNEE
OberschenkelN,thigh,800,THIGH
BeinN,leg,1297,LEG
KorperN,body,1480,BODY
HautN,skin,763,SKIN
BlutN,blood,946,BLOOD
AderN,vein,1924,VEIN
SehneN,sinew,1137,TENDON
KnochenN,bone,1394,BONE
GehirnN,brain,1583,BRAIN
HerzN,heart,1223,HEART
MagenN,stomach,819,STOMACH
LeberN,liver,1224,LIVER
AtemN,breath,870,BREATH
HungerN,hunger,1864,HUNGER
TraneN,tear,1651,TEAR (OF EYE)
GeschmackN,flavour,2190,TASTE
GeruchN,odour,,
SchlafN,sleep,2972,SLEEP (STATE)
TraumN,dream,2374,DREAM
HimmelN,sky,1732,SKY
SonneN,sun,1343,SUN
MondN,moon,1313,MOON
SternN,star,1430,STAR
LuftN,air,27,AIR
WindN,wind,960,WIND
WelleN,wave,978,WAVE
WasserN,water,948,WATER
SteinN,stone,668,ROCK
BodenN,ground,2159,GROUND
ErdeN,earth,1228,EARTH (SOIL)
StaubN,dust,2,DUST
RauchN,smoke,778,SMOKE (EXHAUST)
FunkeN,spark,518,SPARK
FeuerN,fire,221,FIRE
LichtN,light,630,LIGHT (RADIATION)
SchattenN,shadow,1388,SHADE
WetterN,weather,952,WEATHER
NebelN,fog,249,FOG
WolkeN,cloud,1489,CLOUD
RegenN,rain,658,RAIN (PRECIPITATION)
SchneeN,snow,784,SNOW
EisN,ice,617,ICE
FrostN,frost,2034,FROST
KalteN,chill,2932,COLD (CHILL)
HitzeN,heat,612,HEAT
RaureifN,hoarfrost,2942,HOARFROST
RegenbogenN,rainbow,1733,RAINBOW
DonnerN,thunder,1150,THUNDER
StromungN,current,2935,CURRENT (STREAM)
TropfenN,drop,,
SchaumN,foam,1768,FOAM
SchmutzN,dirt,25,DIRT
SeeN,lake,624,LAKE
SumpfN,swamp,1145,SWAMP
MoorN,moor,2962,MOORLAND
WieseN,meadow,649,PASTURE
WaldN,forest,420,FOREST
HugelN,hill,614,HILL
AnhoheN,elevation,2936,ELEVATION
BergN,mountain,639,MOUNTAIN
GipfelN,summit,1614,SUMMIT
HohleN,cave,1155,CAVE
AbhangN,slope,618,PRECIPICE
QuelleN,source,849,SPRING (OF WATER)
BachN,brook,,
FlussN,river,666,RIVER
UferN,shore,113,SHORE
KusteN,coast,1525,COAST
FestlandN,land,166,MAINLAND
MeerN,sea,1474,SEA
BuchtN,"cove, bay",663,BAY
InselN,island,622,ISLAND
BlumeN,flower,239,FLOWER
GrasN,grass,606,GRASS
WurzelN,root,670,ROOT
BaumN,tree,906,TREE
StammN,trunk,344,TREE TRUNK
RindeN,bark,1204,BARK
AstN,limb,1531,BRANCH
ZweigN,twig,3222,TWIG
BlattN,leaf,628,LEAF
BirkeN,birch,1855,BIRCH
KieferBaumN,pine,1740,PINE
WeideBaumN,willow,818,WILLOW
TanneN,fir,1915,FIR
HornN,horn,1393,HORN (ANATOMY)
FederN,feather,1201,FEATHER
FellN,fur,580,FUR
FlugelN,wing,1257,WING
KlaueN,claw,72,CLAW
KralleN,paw,2965,PAW
SchwanzN,tail,1220,TAIL
EiN,egg,744,EGG
NestN,nest,539,NEST
BauN,lair,2949,LAIR
TierN,animal,619,ANIMAL
HerdeN,flock,2939,FLOCK (OF ANIMALS)
KuhN,cow,1007,COW
BulleN,bull,1008,BULL
PferdN,horse,615,HORSE
SchafN,sheep,1331,SHEEP
SchweinN,pig,1337,PIG
HundN,dog,2009,DOG
KatzeN,cat,1208,CAT
BarN,bear,1820,BEAR
EichhornchenN,squirrel,1628,SQUIRREL
ElchN,elk,1772,ELK
FuchsN,fox,1312,FOX
HaseN,hare,1190,HARE
MausN,mouse,1491,MOUSE
WolfN,wolf,522,WOLF
VogelN,bird,937,BIRD
SchwarmN,swarm,2974,SWARM (OF BIRDS)
HuhnN,chicken,1318,CHICKEN
HahnN,cock,1511,ROOSTER
GansN,goose,1187,GOOSE
AdlerN,eagle,1905,EAGLE
EnteN,duck,1360,DUCK
EuleN,owl,735,OWL
KranichN,crane,1830,CRANE
KraheN,crow,913,CROW
KuckuckN,cuckoo,2934,CUCKOO
SchwanN,swan,2837,SWAN
FischN,fish,227,FISH
BarschN,perch,2966,PERCH (FISH)
HechtN,pike,2967,PIKE (FISH)
SchlangeTierN,snake,730,SNAKE
WurmN,worm,1219,WORM
SpinneN,spider,843,SPIDER
AmeiseN,ant,587,ANT
LausN,louse,1392,LOUSE
MuckeN,gnat,1509,MOSQUITO
FliegeN,fly,1504,FLY (INSECT)
SchmetterlingN,butterfly,1791,BUTTERFLY
BeereN,berry,904,BERRY
ApfelN,apple,1320,APPLE
PilzN,mushroom,641,MUSHROOM
ZwiebelN,onion,2366,ONION
SaatN,seed,714,SEED
KornN,grain,605,GRAIN
HeuN,hay,342,HAY
SchaleN,"peel, husk",2373,SKIN (OF FRUIT)
GrubeN,pit,2539,PIT (POTHOLE)
FalleN,trap,1075,TRAP (PITFALL)
SchlingeN,noose,2604,NOOSE
SpurN,track,318,FOOTPRINT
AscheN,ash,646,ASH
DreckN,filth,,
EisenN,iron,621,IRON
GoldN,gold,1369,GOLD
SilberN,silver,759,SILVER
KohleN,coal,2658,COAL
GlasN,glass,604,GLASS
LehmN,clay,1399,CLAY
SandN,sand,671,SAND
MenschN,human,683,PERSON
MannN,man,1554,MAN
FrauN,woman,962,WOMAN
KindN,child,1304,CHILD (YOUNG HUMAN)
JungeN,boy,1366,BOY
MadchenN,girl,1646,GIRL
FamilieN,family,194,FAMILY
GrovaterN,grandfather,1383,GRANDFATHER
GromutterN,grandmother,1496,GRANDMOTHER
ElternN,parents,505,PARENTS
VaterN,father,1217,FATHER
MutterN,mother,1216,MOTHER
SohnN,son,1620,SON
TochterN,daughter,1357,DAUGHTER
BruderN,brother,1262,BROTHER
SchwesterN,sister,1263,SISTER
OnkelN,uncle,1327,UNCLE
TanteN,aunt,1272,AUNT
EhemannN,husband,1200,HUSBAND
EhefrauN,wife,1199,WIFE
FreudeN,joy,2524,JOY
GelachterN,laughter,2958,LAUGHTER
GluckN,happiness,2941,HAPPINESS
KummerN,grief,1668,GRIEF
WunschN,wish,,
LustN,desire,,
GeistN,spirit,53,SPIRIT
GedankeN,thought,2975,THOUGHT
GedachtnisN,memory,1018,MEMORY
VerstandN,mind,1562,MIND
SinnN,meaning,2950,MEANING
GrundN,reason,2968,REASON
WahrheitN,truth,1638,TRUTH
GesprachN,talk,2933,CONVERSATION
MarchenN,fairy tale,2937,FAIRY TALE
ErzahlungN,story,2060,STORY
NachrichtN,message,2961,MESSAGE
NeuigkeitN,news,2964,NEWS
NameN,name,1405,NAME
RatselN,puzzle,,
RedeN,speech,1115,SPEECH
SpracheN,language,1307,LANGUAGE
StimmeN,voice,1363,VOICE
WortN,word,1599,WORD
ZeichenN,sign,1720,SIGN
RufN,call,2944,CALL (APPEAL)
LarmN,noise,1182,NOISE
LautN,sound,1811,SOUND OR NOISE
TonN,tone,2995,TONE (MUSIC)
LiedN,song,1096,SONG
RuheN,calm,1314,QUIET
LeuteN,people,,
VolkN,nation,789,PEOPLE
ArbeitN,work,984,WORK (LABOUR)
GastN,guest,1782,GUEST
GeschenkN,gift,2982,GIFT
SpielN,game,2467,GAME
GesellschaftN,company,2983,COMPANIONSHIP
HilfeN,help,,
FreundN,friend,1325,FRIEND
KameradN,companion,,
AngelegenheitN,matter,,
AnzahlN,count,2945,COUNT (QUANTITY)
ArtN,sort,844,KIND (THING)
StuckN,piece,594,PIECE
TeilN,part,779,PART
HalfteN,half,816,HALF
KreisN,circle,1467,CIRCLE
KreuzN,cross,1367,CROSS
LinieN,line,1048,LINE
StrichN,stroke,2993,STROKE (OF PEN)
AbstandN,gap,2948,GAP (DISTANCE)
EntfernungN,distance,2978,DISTANCE
GegendN,area,2980,AREA
PlatzN,space,3006,SPACE (AVAILABLE)
OrtN,place,723,PLACE (POSITION)
SeiteN,side,682,SIDE
MitteN,middle,1093,MIDDLE
GegenstandN,item,2981,ITEM
SacheN,thing,738,THING
RandN,fringe,2989,FRINGE
KanteN,edge,863,EDGE
EckeN,corner,192,CORNER
SpitzeN,tip,2992,TIP (OF OBJECT)
EndeN,end,742,END (OF SPACE)
LochN,hole,1667,HOLE
WinkelN,angle,,
MusterN,pattern,2988,PATTERN
GroeN,size,2845,SIZE (OF OBJECT)
LangeN,length,2537,LENGTH
HoheN,height,2985,HEIGHT
GewichtN,weight,2466,WEIGHT
MengeN,amount,2987,AMOUNT
HaufenN,heap,2984,HEAP
ReiheN,row,,
BootN,boat,1844,BOAT
RuderN,oar,234,PADDLE
SchlittenN,sleigh,16,SLED
SkiN,ski,2991,SKI
LagerfeuerN,campfire,2986,CAMPFIRE
LastN,load,1679,LOAD
GangN,walk,2979,WALK (MANNER)
SchrittN,step,1158,STEP
NordenN,north,1598,NORTH
SudenN,south,1595,SOUTH
WestenN,west,1817,WEST
OstenN,east,1877,EAST
HolzN,wood,1803,WOOD
BrettN,board,1227,BOARD
PlatteN,slab,2952,SLAB
StutzeN,"support, rest",2994,SUPPORT (OF OBJECT)
StangeN,pole,281,POST
StockN,stick,1295,STICK
StabN,staff,,
RohrN,pipe,2956,TUBE
HausN,house,1252,HOUSE
HeimN,home,2406,HOME
OfenN,stove,859,STOVE
FubodenN,floor,1632,FLOOR
TischN,table,1775,TABLE
StuhlN,chair,1476,CHAIR
WiegeN,cradle,2946,CRADLE
BettN,bed,1663,BED
RegalN,shelf,745,SHELF
KisteN,box,1465,BOX
FensterN,window,1375,WINDOW
TurN,door,1567,DOOR
TorN,gate,2940,GATE
ZaunN,fence,1690,FENCE
DachN,roof,769,ROOF
LeiterN,ladder,1464,LADDER
BesenN,broom,245,BROOM
SpatenN,spade,1176,SPADE
SchaufelN,shovel,1901,SHOVEL
GabelN,fork,1302,FORK
LoffelN,spoon,1378,SPOON
MesserN,knife,1352,KNIFE
NagelN,nail,502,NAIL (TOOL)
NetzN,net,2963,NET
HakenN,hook,1071,HOOK
GriffN,handle,1254,HANDLE
SchlossN,lock,1596,LOCK
BildN,picture,2401,PICTURE
FigurN,figure,1945,IDOL
PuppeN,doll,1659,DOLL
BeutelN,pouch,2951,POUCH
BundelN,bundle,2943,BUNDLE
TascheN,bag,2468,BAG
EimerN,bucket,2052,BUCKET
DeckelN,"cover, lid",2319,"LID (COVER, CAP)"
GeschirrN,dishes,481,DISH
SackN,sack,2990,SACK
TasseN,cup,476,CUP
TopfN,pot,1462,POT
KesselN,kettle,854,KETTLE
EssenN,meal,1526,MEAL
NahrungN,food,256,FOOD
SpeiseN,dish,,
FleischN,meat,634,MEAT
GetreideN,corn,,
BreiN,mush,400,MUSH
BrotN,bread,1368,BREAD
ScheibeN,slice,2954,SLICE
FettN,fat,323,FAT (ORGANIC SUBSTANCE)
ButterN,butter,1245,BUTTER
OlN,oil,1484,OIL (ORGANIC SUBSTANCE)
SalzN,salt,1274,SALT
SuppeN,soup,1547,SOUP
HonigN,honey,942,HONEY
MilchN,milk,635,MILK
TeeN,tea,1373,TEA
LederN,leather,629,LEATHER
WolleN,wool,964,WOOL
StoffN,cloth,1616,CLOTH
NadelN,needle,1382,NEEDLE (FOR SEWING)
FadenN,thread,1161,THREAD
KnopfN,button,757,BUTTON
KnotenN,knot,760,KNOT
FarbeN,paint,647,PAINT (PIGMENTS)
KleidungN,clothes,1895,CLOTHES
HemdN,shirt,1622,SHIRT
KragenN,collar,2012,COLLAR
ArmelN,sleeve,2953,SLEEVE
HoseN,trousers,809,TROUSERS
GurtelN,belt,772,BELT
MutzeN,cap,1288,CAP
SchuhN,shoe,1381,SHOE
StiefelN,boot,585,BOOT
RingN,ring,1374,RING
BandN,ribbon,2969,RIBBON
KammN,comb,1475,COMB
SpiegelN,mirror,1171,MIRROR
RiemenN,strap,2973,STRAP
SchnurN,string,362,STRING
LeineN,leash,2959,LEASH
DeckeN,blanket,806,BLANKET
KissenN,pillow,1044,PILLOW
TuchN,scarf,,
HandtuchN,towel,1021,TOWEL
KraftN,force,,
StarkeN,strength,202,STRENGTH
GesundheitN,health,1364,HEALTHY
KrankheitN,illness,1986,DISEASE
SchmerzN,pain,1783,PAIN
WundeN,wound,1109,WOUND
FieberN,fever,1534,FEVER
ArzneiN,medicine,1372,MEDICINE
BruckeN,bridge,1011,BRIDGE
BrunnenN,well,954,WELL
WeideN,pasture,,
PfadN,path,2252,PATH
WegN,way,2457,PATH OR ROAD
StraeN,road,667,ROAD
DorfN,village,930,VILLAGE
StadtN,town,1391,TOWN
BriefN,letter,1612,LETTER
BuchN,book,963,BOOK
BuchstabeN,character,1024,CHARACTER
ZeitungN,newspaper,1298,NEWSPAPER
LebenN,life,210,LIFE
TodN,death,910,DEATH
GrabN,grave,1773,GRAVE
KircheN,church,1349,CHURCH
SundeN,sin,2971,SIN
GottN,god,3231,DEITY
ArbeiterN,worker,2977,WORKER
ChefN,boss,2930,BOSS
MeisterN,master,383,MASTER
ArztN,doctor,597,PHYSICIAN
LehrerN,teacher,1038,TEACHER
GeldN,money,1559,MONEY
GeschaftN,business,2931,BUSINESS
LadenN,shop,746,SHOP
PreisN,price,657,PRICE
WareN,ware,2957,WARE
NutzenN,benefit,2929,BENEFIT
ReichtumN,wealth,2996,WEALTH
WeltN,world,965,WORLD
LandN,country,1300,COUNTRY
StaatN,state,2955,STATE (POLITICS)
KonigN,king,1508,KING
MachtN,power,2526,POWER
GrenzeN,border,2546,BORDER
KriegN,war,935,WAR
FeindN,enemy,1358,ENEMY
GewaltN,violence,2976,VIOLENCE
KampfN,fight,,
BogenWaffeN,bow,994,BOW
PfeilN,arrow,977,ARROW
GewehrN,gun,1566,GUN
FehlerN,mistake,1293,MISTAKE
LugeN,lie,475,UNTRUTH
SchadenN,damage,2947,DAMAGE (INJURY)
UngluckN,misfortune,56,BAD LUCK
SchuldN,fault,134,FAULT
AlterN,age,1789,AGE
SchlussN,end,743,END (OF TIME)
ZeitN,time,892,TIME
TagN,day,1225,DAY (NOT NIGHT)
MorgenN,morning,1339,MORNING
MittagN,noon,12,MIDDAY
AbendN,evening,1629,EVENING
NachtN,night,1233,NIGHT
WocheN,week,1469,WEEK
MonatN,month,1370,MONTH
JahrN,year,1226,YEAR
FruhlingN,spring,1537,SPRINGTIME
SommerN,summer,1342,SUMMER
HerbstN,autumn,1276,AUTUMN
WinterN,winter,1471,WINTER
JanuarN,January,2036,JANUARY
FebruarN,February,2037,FEBRUARY
MarzN,March,2846,MARCH
AprilN,April,2847,APRIL
MaiN,May,2848,MAY (MONTH)
JuniN,June,2849,JUNE
JuliN,July,2850,JULY
AugustN,August,2851,AUGUST
SeptemberN,September,2852,SEPTEMBER
OktoberN,October,2853,OCTOBER
NovemberN,November,2854,NOVEMBER
DezemberN,December,2855,DECEMBER
MontagN,Monday,1697,MONDAY
DienstagN,Tuesday,1695,TUESDAY
MittwochN,Wednesday,1694,WEDNESDAY
DonnerstagN,Thursday,1693,THURSDAY
FreitagN,Friday,1692,FRIDAY
SamstagN,Saturday,1700,SATURDAY
SonntagN,Sunday,1699,SUNDAY
groA,big,1202,BIG
kleinA,little,1246,SMALL
langA,long,1203,LONG
kurzA,short,1645,SHORT
breitA,wide,1243,WIDE
schmalA,narrow,1267,NARROW
dichtA,dense,2239,DENSE
dickGegenstandA,thick,1244,THICK
dunnA,thin,2249,THIN (OF SHAPE OF OBJECT)
feinA,"delicate, fine",2157,FINE OR THIN
festA,"firm, solid",3003,SOLID
flachA,flat,1633,FLAT
glattA,smooth,1234,SMOOTH
hartA,hard,1884,HARD
weichA,soft,1856,SOFT
rundA,round,1395,ROUND
spitzA,pointed,372,POINTED
scharfA,sharp,1396,SHARP
stumpfA,blunt,379,BLUNT
schwerA,heavy,1210,HEAVY
schonA,beautiful,1427,BEAUTIFUL
heiA,hot,1286,HOT
warmA,warm,1232,WARM
kaltA,cold,1287,COLD
kuhlA,cool,2483,COLD (OF WEATHER)
frischA,fresh,243,FRESH
feuchtA,damp,2998,DAMP
nassA,wet,1726,WET
trockenA,dry,1398,DRY
vollA,full,1429,FULL
leerA,empty,1624,EMPTY
offenA,open,,
geschlossenA,closed,589,CLOSED
sauberA,clean,704,CLEAN
schmutzigA,dirty,1230,DIRTY
rohA,raw,1959,RAW
reifA,ripe,178,RIPE
leckerA,delicious,1813,TASTY
suA,sweet,717,SWEET
bitterA,bitter,887,BITTER
sauerA,sour,1906,SOUR
hellA,bright,679,BRIGHT
dunkelA,dark,706,DARK
schwarzA,black,163,BLACK
weiA,white,1335,WHITE
rotA,red,156,RED
gelbA,yellow,1424,YELLOW
blauA,blue,837,BLUE
grunA,green,1425,GREEN
grauA,grey,153,GREY
buntA,colourful,2997,COLORFUL
billigA,cheap,1887,CHEAP
teuerA,expensive,1426,EXPENSIVE
wertvollA,precious,3002,PRECIOUS
blindA,blind,1653,BLIND
taubA,deaf,996,DEAF
kraftigA,powerful,3001,POWERFUL
starkA,strong,785,STRONG
schwachA,weak,1601,WEAK
fettA,fat,1279,FAT (OBESE)
schlankA,slim,1400,THIN (SLIM)
hubschA,pretty,2410,GOOD-LOOKING
boseA,evil,45,EVIL
dummA,stupid,1518,STUPID
faulA,lazy,1564,LAZY
fleiigA,diligent,2077,DILIGENT
geizigA,stingy,1774,STINGY
klugA,clever,1310,CLEVER
geschicktA,skilful,1824,DEXTEROUS
liebA,dear,2470,DEAR
lustigA,merry,1976,MERRY
sanftA,gentle,1954,GENTLE
hungrigA,hungry,1533,BE HUNGRY
krankA,"sick, ill",1847,SICK
nacktA,naked,590,NAKED
traurigA,sad,699,SAD
lebendigA,living,3000,LIVING
gutA,good,1035,GOOD
schlechtA,bad,1292,BAD
richtigA,correct,1725,CORRECT (RIGHT)
schlimmA,"nasty, dire",419,SEVERE
wahrA,true,1657,TRUE
altA,old,1229,OLD
neuA,new,1231,NEW
ehemaligA,former,3004,FORMER
altLebewesenA,"aged, old",2112,OLD (AGED)
jungA,young,1207,YOUNG
armA,poor,1674,POOR
reichA,rich,712,RICH
bekanntA,familiar,3005,FAMILIAR
beruhmtA,famous,,
fremdA,foreign,109,FOREIGN
verschiedenA,different,2504,DIFFERENT
nahA,near,1942,NEAR
fernA,far,1406,FAR
linkerA,left,244,LEFT
rechterA,right,1019,RIGHT
andererA,other,197,OTHER
ersterA,first,728,FIRST
zweiterA,second,1384,SECOND
dritterA,third,1859,THIRD
letzterA,last,1529,LAST (FINAL)
alleinADV,alone,1964,ALONE
aufeinmalADV,at once,1963,IMMEDIATELY
zusammenADV,together,2482,TOGETHER
langeADV,long,,
plotzlichADV,suddenly,2920,SUDDENLY
sofortADV,instantly,2916,INSTANTLY (IMMEDIATELY)
spaterADV,later,,
jetztADV,now,1376,NOW
heuteADV,today,1283,TODAY
morgenADV,tomorrow,1329,TOMORROW
baldADV,soon,703,SOON
dannADV,then,2921,THEN
gesternADV,yesterday,1174,YESTERDAY
einstADV,once,2914,ONCE (IN THE PAST)
damalsADV,at that time,2922,AT THAT TIME
danachADV,afterwards,2093,AFTERWARDS
vorherADV,before,1882,BEFORE
zuerstADV,at first,2915,AT FIRST
einmalADV,once,374,ONE TIME
manchmalADV,sometimes,1544,SOMETIMES
oftADV,often,1852,OFTEN
immerADV,always,1676,ALWAYS
niemalsADV,never,1656,NEVER
hierADV,here,136,HERE
hierhinADV,hither,2925,HITHER (HERE TO)
vonhierADV,hence,2927,FROM HERE
dortADV,there,1937,THERE
dorthinADV,thither,2923,THITHER (THERE TO)
geradeausADV,ahead,1404,STRAIGHT
vorwartsADV,forward,2912,FORWARD
ruckwartsADV,backward,2911,BACKWARD
zuruckADV,back,2910,BACK (DIRECTION)
untenADV,below,,
hinabADV,down,1326,DOWN
obenADV,above,1741,ABOVE
hinaufADV,up,1591,UP
uberallADV,everywhere,2999,EVERYWHERE
nichtADV,not,1240,NOT
einwenigADV,a little,2924,A LITTLE
kaumADV,hardly,2926,HARDLY
sehrADV,very,1311,VERY
soADV,so,2336,OF THIS KIND (SUCH)
nochADV,still,2919,STILL (CONTINUING)
nurADV,only,1580,ONLY
schonADV,already,2576,ALREADY
wiederADV,again,204,AGAIN
vergebensADV,in vain,1765,IN VAIN
vorPRP,in front of,1883,IN FRONT OF
hinterPRP,behind,1686,BEHIND
unterPRP,under,,
durchPRP,through,97,THROUGH
nebenPRP,next to,2917,NEXT TO
zwischenPRP,between,689,BETWEEN
wegenPRP,because of,2918,BECAUSE OF
diesPRN,this,1214,THIS
dasPRN,that,78,THAT
allesPRN,everything,98,ALL
ichPRN,I,1209,I
duPRN,thou,1215,THOU
erPRN,he,262,HE
wirPRN,we,1212,WE
ihrPRN,you,1213,YOU
siePRN,they,817,THEY
wasFPRN,what,1236,WHAT
werFPRN,who,1235,WHO
woFADV,where,1237,WHERE
wohinFADV,where to,2928,WHITHER (WHERE TO)
wieFADV,how,1239,HOW
warumFADV,why,1270,WHY
wievielFNUM,how much,531,HOW MUCH
einsNUM,one,1493,ONE
zweiNUM,two,1498,TWO
dreiNUM,three,492,THREE
vierNUM,four,1500,FOUR
funfNUM,five,493,FIVE
sechsNUM,six,1703,SIX
siebenNUM,seven,1704,SEVEN
achtNUM,eight,1705,EIGHT
neunNUM,nine,1483,NINE
zehnNUM,ten,1515,TEN
elfNUM,eleven,1706,ELEVEN
zwolfNUM,twelve,1707,TWELVE
zwanzigNUM,twenty,1710,TWENTY
dreiigNUM,thirty,1715,THIRTY
vierzigNUM,forty,1716,FORTY
funfzigNUM,fifty,1717,FIFTY
sechzigNUM,sixty,1718,SIXTY
siebzigNUM,seventy,1721,SEVENTY
achtzigNUM,eighty,1722,EIGHTY
neunzigNUM,ninety,1724,NINETY
hundertNUM,a hundred,1634,HUNDRED
tausendNUM,a thousand,1843,THOUSAND
undCNJ,and,1577,AND
oderCNJ,or,1014,OR
stehenV,stand,1442,STAND
sitzenV,sit,1416,SIT
liegenV,lie,1411,LIE (REST)
hangenV,hang,2884,HANG
werdenV,become,1990,BECOME
passierenV,happen,248,HAPPEN
beginnenV,begin,,
endenV,end,1928,CEASE
wechselnV,change,2857,CHANGE (BECOME DIFFERENT)
aufgehenSonneV,rise,,
untergehenSonneV,set,160,SET (HEAVENLY BODIES)
scheinenSonneV,shine,708,SHINE
donnernV,thunder,2378,THUNDER (VERB)
wehenV,blow,175,BLOW (OF WIND)
stromenV,stream,2858,STREAM (FLOW CONTINUOUSLY)
flieenV,flow,2003,FLOW
sichdrehenV,revolve,,
schwankenV,sway,573,SWAY
schwingenV,swing,2871,SWING (MOVEMENT)
fallenV,fall,1280,FALL
brennenV,burn,1428,BURNING
rauchenV,smoke,2859,SMOKE (EMIT SMOKE)
regnenV,rain,1253,RAIN (RAINING)
gefrierenV,freeze,1431,FREEZE
tauenV,thaw,2887,THAW (DEW)
schmelzenV,melt,2334,MELT
trocknenV,dry,1786,DRY UP
siedenV,boil,792,BOIL (OF LIQUID)
faulenV,rot,569,SPOIL (BECOME SPOILED)
verfaulenV,decay,2907,ROT
reienV,snap,460,BREAK (OF ROPE)
versinkenV,sink,1088,SINK (DESCEND)
vergehenV,pass,1951,PASS
erscheinenV,appear,1076,EMERGE (APPEAR)
verschwindenV,disappear,485,DISAPPEAR
sinkenV,"drop, descend",1088,SINK (DESCEND)
abnehmenV,decrease,2864,DECREASE
zunehmenV,increase,1041,INCREASE
steigenV,rise,705,GO UP (ASCEND)
wachsenV,grow,479,GROW
glanzenV,shine,,
funkelnV,"sparkle, twinkle",2889,TWINKLE
larmenV,be noisy,,
lautenV,chime,2897,CHIME (ACTION)
klingelnV,ring,2875,RING (MAKE SOUND)
klirrenV,tinkle,2888,TINKLE
brausenV,roar,2876,ROAR (OF SEA)
rauschenV,rustle,2877,RUSTLE (OF LEAVES)
klingenV,sound,2879,SOUND (OF INSTRUMENT OR VOICE)
bellenV,bark,1206,BARKING
heulenV,howl,526,HOWL
