Family,Glottocode,ID,ISO639P3code,Name,Subfamily
Turkic,nucl1301,tur,tur,Turkish,West Oghuz
Turkic,nort2697,azj,azj,North Azerbaijani,West Oghuz
Turkic,nort2690,uzn,uzn,Northern Uzbek,Uzbek
Turkic,kaza1248,kaz,kaz,Kazakh,Kipchak
Turkic,bash1264,bak,bak,Bashkir,Kipchak
Turkic,tata1255,tat,tat,Tatar,Kipchak
Turkic,yaku1245,sah,sah,Sakha,North Siberian Turkic
Turkic,chuv1255,chv,chv,Chuvash,Bolgar
Mongolic,halh1238,khk,khk,Khalkha Mongolian,Eastern Mongolic
Mongolic,buri1258,bua,bua,Buryat,Eastern Mongolic
Mongolic,kalm1243,xal,xal,Kalmyk,Eastern Mongolic
Tungusic,even1259,evn,evn,Evenki,Northern Tungusic
Tungusic,manc1252,mnc,mnc,Manchu,Manchu-Jurchen
Tungusic,nana1257,gld,gld,Nanai,Central Tungusic
Yeniseian,kett1243,ket,ket,Ket,Northern Yeniseian
Yukaghir,nort2745,ykg,ykg,Northern Yukaghir,Northern Yukaghir
Yukaghir,sout2750,yux,yux,Southern Yukaghir,Kolymic
Chukotko-Kamchatkan,itel1242,itl,itl,Itelmen,Itelmen
Chukotko-Kamchatkan,chuk1273,ckt,ckt,Chukchi,Chukotian
Nivkh,gily1242,niv,niv,Nivkh,Nivkh
Ainu,ainu1240,ain,ain,Hokkaido Ainu,Hokkaido-Kuril Ainu
Koreanic,kore1280,kor,kor,Korean,Korean
Japonic,nucl1643,jpn,jpn,Japanese,Japanesic
Eskimo-Aleut,aleu1260,ale,ale,Aleut,Aleut
Eskimo-Aleut,cent2128,ess,ess,Central Siberian Yupik,Eskimo
Eskimo-Aleut,kala1399,kal,kal,Kalaallisut,Eskimo
Dravidian,nucl1305,kan,kan,Kannada,South Dravidian
Dravidian,mala1464,mal,mal,Malayalam,South Dravidian
Dravidian,tami1289,tam,tam,Tamil,South Dravidian
Dravidian,telu1262,tel,tel,Telugu,South Dravidian
Burushaski,buru1296,bsk,bsk,Burushaski,Burushaski
Kartvelian,nucl1302,kat,kat,Georgian,Georgian-Zan
Basque,basq1248,eus,eus,Basque,Basque
Abkhaz-Adyge,abkh1244,abk,abk,Abkhaz,Abkhaz-Abaza
Abkhaz-Adyge,adyg1241,ady,ady,Adyghe,Circassian
Nakh-Daghestanian,avar1256,ava,ava,Avar,Daghestanian
Nakh-Daghestanian,dido1241,ddo,ddo,Tsez,Daghestanian
Nakh-Daghestanian,lakk1252,lbe,lbe,Lak,Daghestanian
Nakh-Daghestanian,lezg1247,lez,lez,Lezgian,Daghestanian
Nakh-Daghestanian,darg1241,dar,dar,Dargwa,Daghestanian
Nakh-Daghestanian,chec1245,che,che,Chechen,Nakh
Afro-Asiatic,stan1318,arb,arb,Standard Arabic,Semitic
Afro-Asiatic,hebr1245,heb,heb,Modern Hebrew,Semitic
Sino-Tibetan,mand1415,cmn,cmn,Mandarin Chinese,Sinitic
