Family,Glottocode,ID,ISO639P3code,Name,Subfamily
Uralic,finn1318,fin,fin,Finnish,Finnic
Uralic,kare1335,krl,krl,North Karelian,Finnic
Uralic,livv1243,olo,olo,Olonets Karelian,Finnic
Uralic,veps1250,vep,vep,Veps,Finnic
Uralic,esto1258,ekk,ekk,Estonian,Finnic
Uralic,livv1244,liv,liv,Livonian,Finnic
Uralic,sout2674,sma,sma,Southern Sami,Saami
Uralic,lule1254,smj,smj,Lule Sami,Saami
Uralic,nort2671,sme,sme,Northern Sami,Saami
Uralic,inar1241,smn,smn,Inari Sami,Saami
Uralic,skol1241,sms,sms,Skolt Sami,Saami
Uralic,kild1236,sjd,sjd,Kildin Sami,Saami
Uralic,west2392,mrj,mrj,Hill Mari,Mari
Uralic,east2328,mhr,mhr,Meadow Mari,Mari
Uralic,moks1248,mdf,mdf,Moksha,Mordvin
Uralic,erzy1239,myv,myv,Erzya,Mordvin
Uralic,udmu1245,udm,udm,Udmurt,Permian
Uralic,komi1269,koi,koi,Komi-Permyak,Permian
Uralic,komi1268,kpv,kpv,Komi-Zyrian,Permian
Uralic,hung1274,hun,hun,Hungarian,Hungarian
Uralic,khan1273,kca,kca,Northern Khanty,Khantyic
Uralic,mans1258,mns,mns,Northern Mansi,Mansic
Uralic,selk1253,sel,sel,Northern Selkup,Samoyedic
Uralic,nene1249,yrk,yrk,Tundra Nenets,Samoyedic
Uralic,fore1265,enf,enf,Forest Enets,Samoyedic
Uralic,ngan1291,nio,nio,Nganasan,Samoyedic
Indo-European,beng1280,ben,ben,Bengali,Indo-Aryan
Indo-European,hind1269,hin,hin,Hindi,Indo-Aryan
Indo-European,nort2646,pbu,pbu,Northern Pashto,Iranian
Indo-European,west2369,pes,pes,Western Farsi,Iranian
Indo-European,nort2641,kmr,kmr,Northern Kurdish,Iranian
Indo-European,osse1243,oss,oss,Ossetian,Iranian
Indo-European,nucl1235,hye,hye,Armenian,Armenic
Indo-European,mode1248,ell,ell,Modern Greek,Graeco-Phrygian
Indo-European,alba1267,sqi,sqi,Standard Albanian,Albanian
Indo-European,bulg1262,bul,bul,Bulgarian,Balto-Slavic
Indo-European,croa1245,hrv,hrv,Croatian,Balto-Slavic
Indo-European,slov1268,slv,slv,Slovene,Balto-Slavic
Indo-European,slov1269,slk,slk,Slovak,Balto-Slavic
Indo-European,czec1258,ces,ces,Czech,Balto-Slavic
Indo-European,poli1260,pol,pol,Polish,Balto-Slavic
Indo-European,ukra1253,ukr,ukr,Ukrainian,Balto-Slavic
Indo-European,bela1254,bel,bel,Belarusian,Balto-Slavic
Indo-European,russ1263,rus,rus,Russian,Balto-Slavic
Indo-European,lith1251,lit,lit,Lithuanian,Balto-Slavic
Indo-European,latv1249,lav,lav,Latvian,Balto-Slavic
Indo-European,icel1247,isl,isl,Icelandic,Germanic
Indo-European,norw1258,nor,nor,Norwegian (Bokmål),Germanic
Indo-European,swed1254,swe,swe,Swedish,Germanic
Indo-European,dani1285,dan,dan,Danish,Germanic
Indo-European,stan1295,deu,deu,German,Germanic
Indo-European,dutc1256,nld,nld,Dutch,Germanic
Indo-European,stan1293,eng,eng,English,Germanic
Indo-European,iris1253,gle,gle,Irish,Celtic
Indo-European,wels1247,cym,cym,Welsh,Celtic
Indo-European,bret1244,bre,bre,Breton,Celtic
Indo-European,lati1261,lat,lat,Latin,Italic
Indo-European,stan1290,fra,fra,French,Italic
Indo-European,stan1289,cat,cat,Catalan,Italic
Indo-European,stan1288,spa,spa,Spanish,Italic
Indo-European,port1283,por,por,Portuguese,Italic
Indo-European,ital1282,ita,ita,Italian,Italic
Indo-European,roma1327,ron,ron,Romanian,Italic
