Grapheme	IPA
...	NULL
_	+
__	+
_..._	+
âɪ̯	ai ⁵¹
_$	NULL
^_	NULL
-	NULL
.	NULL
ˈ	NULL
ˌ	NULL
0	NULL
|	NULL
^-	NULL
-$	NULL
̌	NULL
^ʲ	j
^ʷ	w
aʲa	a j a
ɪʲa	ɪ j a
æˑ	æˑ
w̜	w
̪ɑː	ɑː
ɐʲi	ɐ j i
oʲi	o j i
oʲa	o j a
eʲa	e j a
iʲu	i j u
eʲi	e j i
ž	ʒ
žː	ʒː
m̬	m
t̬	t
ḛ	ḛ
a̬	a
əʲo	ə j o
ɨʰk	ɨ ʰk
eʰp	e ʰp
uʰp	u ʰp
eːʰp	eː ʰp
uːʰp	uː ʰp
uʰt͡s	u ʰt s
ḥ	h
ɑ́	ɑ
ə́	ə
ý	y
ɯ́	ɯ
ú	u
ó	o
ǽ	æ
ɕ͡t͡ɕ	ɕ tɕ
ɕ͡t͡ɕʲ	ɕ tɕʲ
ɕ͡t	ɕ t
ʊ̄	ʊ̄
ɪ̄	ɪ̄
ɔ̂	ɔ
ɔ̌	ɔ
r̩̂ː	rː
r̩̂	r
ɛ̂	ɛ
ǔː	uː
ǔ	u
ûː	uː
û	u
oˑ	oˑ
̄n	n
̄r	r
ʊ̄̃ t͡ʃ	ʊ tʃ
ʊ̄̃t͡ʃʰ	ʊ tʃʰ
ɪ̄̃	ɪ̃
î	i
ǎː	aː
ř̩	r
ʲ	j
ʰ	h
t͡n	t n
i͡a͡ɔ	i a ɔ
s̰ʰː	sːʰ
a	a
aː	aː
aːˀ	aː ʔ
aː̃	ãː
aˑ	aˑ
aˤ	aˤ
ã	ã
ãː	ãː
a̹	a̹
a͡i	ai
a͡ɔ	aɔ
a͡ɪ	aɪ
a͡ʊ	aʊ
b	b
bʰ	bʰ
bʲ	bʲ
bʷ	bʷ
bʼ	b’
bː	bː
bːʲ	bʲː
bˠ	bˠ
bˤ	bˤ
b̥	b̥
c	c
cʰ	cʰ
cʲ	cʲ
cː	cː
c͡ç	cç
c͡çʲ	cçʲ
c͡çʷ	cçʷ
d	d
dʰ	dʰ
dʰː	dʰː
dʲ	dʲ
dʲː	dʲː
dʷ	dʷ
dʼ	d’
dː	dː
dːʲ	dʲː
dˤ	dˤ
dˤː	dˤː
d̚	d̚
d̥	d̥
d̪	d̪
d̪ʰ	d̪ʰ
d̪ː	d̪ː
d̪ˠ	d̪ˠ
d͡sː	dsː
d͡z	dz
d͡zʲ	dzʲ
d͡zː	dzː
d͡ʃ	d ʃ
d͡ʑ	dʑ
d͡ʑʲ	dʑʲ
d͡ʑʷ	dʑʷ
d͡ʑː	dʑː
d͡ʑ͈	dʑ͈
d͡ʒ	dʒ
d͡ʒʰ	dʒʰ
d͡ʒʲ	dʒʲ
d͡ʒː	dʒː
e	e
eː	eː
eːˀ	eː ʔ
eː̃	ẽː
eˑ	eˑ
ẽ	ẽ
ẽː	ẽː
ẽ̞	ẽ̞
e̞	e̞
e͡ɪ	eɪ
f	f
fʲ	fʲ
fː	fː
fˠ	fˠ
h	h
hʲ	hʲ
hː	hː
i	i
iˀ	i ʔ
iː	iː
iːˀ	iː ʔ
iˑ	iˑ
iˤ	iˤ
ĩ	ĩ
ĩː	ĩː
i̟	i̟
i̟ː	iː̟
ĩ̟	ĩ̟
i͡a	ia
i͡ã	iã
i͡e	ie
i͡u	iu
i͡ũ	iũ
i͡ɔ	iɔ
i͡ə	iə
i͡ə̃	iə̃
i͡ɛ	iɛ
j	j
jʲ	jʲ
jˀ	jˀ
jː	jː
j̃	j̃
k	k
kʰ	kʰ
kʰʲ	kʲʰ
kʰː	kʰː
kʲ	kʲ
kʷ	kʷ
kʷʲ	kʲʷ
kʷʼ	kʼʷ
kʼ	kʼ
kʼʲ	k’ʲ
kʼʷ	kʼʷ
kˀ	kˀ
kː	kː
kːʲ	kʲː
kːʼ	k’ː
k̚	k̚
k̥	k̥
k͈͈	k͈
l	l
lʲ	lʲ
lʲː	lʲː
lʷ	lʷ
lˀ	lˀ
lː	lː
lːʲ	lʲː
l̥	l̥
l̥ː	l̥ː
l̩ː	l̩ː
l̪ˠ	l̪ˠ
m	m
mʲ	mʲ
mʲʲ	mʲ
mʲː	mʲː
mʷ	mʷ
mʼ	m’
mˀ	mˀ
mː	mː
mːʲ	mʲː
mˑ	mˑ
mˠ	mˠ
mˤ	mˤ
m̥	m̥
m̥ʲː	m̥ʲː
n	n
nʲ	nʲ
nʲʲ	nʲ
nʲː	nʲː
nʷ	nʷ
nˀ	nˀ
nː	nː
nːʲ	nʲː
nˑ	nˑ
nˤ	nˤ
n̥	n̥
n̥ː	n̥ː
n̩	n̩
n̪	n̪
n̪ː	n̪ː
n̪ˠ	n̪ˠ
o	o
oˀ	o ʔ
oː	oː
oːˀ	oː ʔ
oː̃	õː
oˤ	oˤ
õ	õ
õː	õː
õ̞	õ̞
o̞	o̞
o̞ː	o̞ː
p	p
pʰ	pʰ
pʰː	pʰː
pʲ	pʲ
pʷʼ	p’ʷ
pʼ	pʼ
pʼʷ	p’ʷ
pʼˤ	p’ˤ
pˀ	pˀ
pː	pː
pːʲ	pʲː
pˠ	pˠ
pˤ	pˤ
p̚	p̚
p̻ː	p̻ː
p͈͈	p͈
p͈͈ʰ	p͈ʰ
p͡f	pf
q	q
qʰ	qʰ
qʰʷ	qʷʰ
qʰː	qʰː
qʲ	qʲ
qʷ	qʷ
qʼ	qʼ
qʼʲ	q’ʲ
qʼʷ	qʼʷ
qʼˤ	q’ˤ
qˀ	qˀ
qː	qː
q͡χ	qχ
q͡χː	qχː
q͡χːʼ	qχ’ː
q͡χˤ	qχˤ
r	r
rʲ	rʲ
rʲʲ	rʲ
rʷ	rʷ
rʼ	r’
rː	rː
rːʲ	rʲː
rˑ	rˑ
rˤ	rˤ
r̝	r̝
r̝̥	r̝̥
r̥	r̥
r̥ʲː	r̥ʲː
r̥ː	r̥ː
r̩	r̩
r̩ː	r̩ː
s	s
sʰ	sʰ
sʰːː	sʰː
sʲ	sʲ
sʲː	sʲː
sʷ	sʷ
sː	sː
sːʲ	sʲː
sˠ	sˠ
sˤ	sˤ
sˤː	sˤː
s̪	s̪
s̪ː	s̪ː
s̻ː	s̻ː
s͈	s͈
t	t
tʰ	tʰ
tʰʲ	tʲʰ
tʰː	tʰː
tʰ͡z	tʰz
tʲ	tʲ
tʲʲ	tʲ
tʲː	tʲː
tʷ	tʷ
tʷʼ	t’ʷ
tʼ	tʼ
tʼʷ	t’ʷ
tʼˤ	t’ˤ
tˀ	tˀ
tː	tː
tːʲ	tʲː
tː͡s	tsː
tː͡ʃ	tʃː
tˤ	tˤ
tˤː	tˤː
t̚	t̚
t̪	t̪
t̪ʰ	t̪ʰ
t̪ː	t̪ː
t̪ˠ	t̪ˠ
t̻ː	t̻ː
t͈	t͈
t͈ʰ	t͈ʰ
t͈͈	t͈
t͈͈ʰ	t͈ʰ
t͡pʼ	tpʼ
t͡s	ts
t͡sʰ	tsʰ
t͡sʰʲ	tsʲʰ
t͡sʲ	tsʲ
t͡sʷ	tsʷ
t͡sʼ	tsʼ
t͡sʼʷ	ts’ʷ
t͡sʼː	ts’ː
t͡sˀ	tsˀ
t͡sː	tsː
t͡ɕ	tɕ
t͡ɕʰ	tɕʰ
t͡ɕʲ	tɕʲ
t͡ɕʷʰ	tɕʷʰ
t͡ɕˀ	tɕˀ
t͡ɕː	tɕː
t͡ɕ͈	tɕ͈
t͡ɕ͈͈	tɕ͈
t͡ɕ͈͈͈	tɕ͈
t͡ɬ	tɬ
t͡ɬʼ	tɬʼ
t͡ɬʼˤ	tɬ’ˤ
t͡ɬˤ	tɬˤ
t͡ʂ	ʈʂ
t͡ʂʰ	ʈʂʰ
t͡ʃ	tʃ
t͡ʃʰ	tʃʰ
t͡ʃʰʲ	tʃʲʰ
t͡ʃʲ	tʃʲ
t͡ʃʼ	tʃʼ
t͡ʃʼː	tʃʼː
t͡ʃʼˤ	tʃ’ˤ
t͡ʃˀ	tʃˀ
t͡ʃː	tʃː
t͡ʃˤ	tʃˤ
u	u
uˀ	u ʔ
uː	uː
uːˀ	uː ʔ
uˑ	uˑ
ũ	ũ
ũː	ũː
u͡i	ui
u͡ĩ	uĩ
u͡o	uo
u͡ɔ	uɔ
u͡ʊ	uʊ
v	v
vʲ	vʲ
vː	vː
vːʲ	vʲː
vˠ	vˠ
v̥	v̥
w	w
wʲ	wʲ
wˀ	w ʔ
wː	wː
wˤ	wˤ
x	x
xʲ	xʲ
xʷ	xʷ
xː	xː
x̥	x̥
y	y
yː	yː
yːˀ	yː ʔ
yˑ	yˑ
ỹː	ỹː
y͡ø	yø
z	z
zʲ	zʲ
zʷ	zʷ
zʼ	z’
zː	zː
zːʲ	zʲː
à	à
á	á
æ	æ
æˀ	æ ʔ
æː	æː
æːˀ	æː ʔ
æ̝	æ̝
ç	ç
çː	çː
é	é
í	í
ð	ð
ðʲ	ðʲ
ðʷ	ðʷ
ðˀ	ðˀ
ðː	ðː
ðːʲ	ðʲː
ò	ò
ô	ô
ø	ø
øː	øː
øːˀ	øː ʔ
øˑ	øˑ
ø̃	ø̃
ø̃ː	ø̃ː
ē	ē
ħ	ħ
ħʲʷ	ħʲʷ
ħː	ħː
ī	ī
ŋ	ŋ
ŋʲ	ŋʲ
ŋʷ	ŋʷ
ŋˀ	ŋˀ
ŋː	ŋː
ŋːʲ	ŋʲː
ŋ̥	ŋ̊
ō	ō
œ	œ
œː	œː
œːˀ	œː ʔ
œ̃	œ̃
ɐ	ɐ
ɐˀ	ɐ ʔ
ɐː	ɐː
ɐːˀ	ɐː ʔ
ɐ̃	ɐ̃
ɑ	ɑ
ɑˀ	ɑ ʔ
ɑː	ɑː
ɑːˀ	ɑː ʔ
ɑː̃	ɑ̃ː
ɑˑ	ɑˑ
ɑ̃	ɑ̃
ɑ̃ː	ɑ̃ː
ɒ	ɒ
ɒˀ	ɒ ʔ
ɒː	ɒː
ɒːˀ	ɒː ʔ
ɔ	ɔ
ɔː	ɔː
ɔːˀ	ɔː ʔ
ɔː̃	ɔ̃ː
ɔˑ	ɔˑ
ɔ̃	ɔ̃
ɔ̃ː	ɔ̃ː
ɔ͡ɪ	ɔɪ
